CollEn	 Particle	 Cent	 dEtdEta	 dETdEta_err	 dNdEta	 dNdEta_err	 npart	 nparterr
7.7	ala	0	0.269187	0.0392745	0.0987673	0.0148617	16272.5	5.58431e+08
7.7	ala	1	0.231841	0.0352014	0.0854649	0.0133489	16272.5	5.58431e+08
7.7	ala	2	0.193336	0.0207072	0.0722899	0.00798949	16272.5	5.58431e+08
7.7	ala	3	0.151545	0.024872	0.0580755	0.0100279	16272.5	5.58431e+08
7.7	ala	4	0.1027	0.197948	0.0398048	0.0856268	16272.5	5.58431e+08
7.7	ala	5	0.0497017	0.00700746	0.0192951	0.00277042	59	45
7.7	ala	6	0.0126292	0.00772571	0.00506223	0.00329139	20	14
7.7	la_	0	3.54624	0.188719	8.49427	0.602678	20	14
7.7	la_	1	2.82233	0.172893	6.74292	0.553859	20	14
7.7	la_	2	1.99752	0.102327	4.9749	0.369677	20	14
7.7	la_	3	1.25163	0.0822381	3.24479	0.319506	20	14
7.7	la_	4	0.716079	0.0574859	1.8945	0.222154	20	14
7.7	la_	5	0.279048	0.02288	0.823705	0.0969679	59	45
7.7	la_	6	0.0561695	0.00615117	0.190664	0.030055	20	14
11.5	ala	0	1.09039	0.094752	0.404324	0.0364307	20	14
11.5	ala	1	0.833595	0.0926112	0.30903	0.0359502	20	14
11.5	ala	2	0.690908	0.0624441	0.258835	0.0243779	20	14
11.5	ala	3	0.494704	0.0586682	0.187182	0.0232684	20	14
11.5	ala	4	0.344622	0.0524278	0.132076	0.0210078	20	14
11.5	ala	5	0.182013	0.0261712	0.0707056	0.0105073	59	45
11.5	ala	6	0.0489558	0.0104432	0.0194411	0.00427022	20	14
11.5	la_	0	3.45263	0.203435	7.904	0.681704	20	14
11.5	la_	1	2.74016	0.196769	6.32892	0.609413	20	14
11.5	la_	2	1.98208	0.118962	4.67812	0.373223	20	14
11.5	la_	3	1.207	0.091949	2.92215	0.313142	20	14
11.5	la_	4	0.713237	0.0696981	1.84545	0.253164	20	14
11.5	la_	5	0.276202	0.0294256	0.756197	0.118238	59	45
11.5	la_	6	0.0625998	0.00835196	0.194024	0.0341239	20	14
19.6	ala	0	2.88117	0.0963142	1.05441	0.0356064	20	14
19.6	ala	1	2.39261	0.103235	0.874057	0.038773	20	14
19.6	ala	2	1.86403	0.0581525	0.688619	0.0218011	20	14
19.6	ala	3	1.32412	0.0490722	0.494915	0.018682	20	14
19.6	ala	4	0.893181	0.0481358	0.338164	0.0188531	20	14
19.6	ala	5	0.444569	0.0216413	0.170447	0.00842911	58	44
19.6	ala	6	0.118488	0.00820939	0.0465451	0.00327434	20	14
19.6	la_	0	3.43063	0.109218	7.30539	0.261656	20	14
19.6	la_	1	2.72033	0.0971699	5.82248	0.229528	20	14
19.6	la_	2	2.00055	0.0580427	4.39469	0.163728	20	14
19.6	la_	3	1.22941	0.0408166	2.79629	0.101355	20	14
19.6	la_	4	0.737201	0.0312959	1.77768	0.0876813	20	14
19.6	la_	5	0.304471	0.0133797	0.786289	0.0382689	58	44
19.6	la_	6	0.0577542	0.00345612	0.170921	0.0114643	20	14
27	ala	0	4.45506	0.166228	1.62272	0.0614931	20	14
27	ala	1	3.68611	0.173739	1.34244	0.0658032	20	14
27	ala	2	2.85326	0.0936373	1.04754	0.0351843	20	14
27	ala	3	2.05648	0.0841049	0.764389	0.0321075	20	14
27	ala	4	1.34356	0.0665816	0.502033	0.0255036	20	14
27	ala	5	0.701667	0.0353298	0.267451	0.0137561	61	47
27	ala	6	0.18953	0.012511	0.0738338	0.0049446	21	14
27	la_	0	3.33097	0.110558	6.9207	0.262143	21	14
27	la_	1	2.69033	0.0952676	5.64312	0.219655	21	14
27	la_	2	1.96265	0.0542323	4.15718	0.126646	21	14
27	la_	3	1.26804	0.0415271	2.76894	0.103376	21	14
27	la_	4	0.759329	0.0305096	1.73629	0.0777216	21	14
27	la_	5	0.315607	0.0129591	0.7733	0.03453	61	47
27	la_	6	0.0639631	0.00359779	0.183399	0.0114673	21	14
39	ala	0	6.30729	0.348947	2.2853	0.134404	21	14
39	ala	1	5.48564	0.314493	2.01077	0.120861	21	14
39	ala	2	4.15108	0.180596	1.521	0.0691019	21	14
39	ala	3	2.9429	0.153018	1.08876	0.0590031	21	14
39	ala	4	1.91235	0.12686	0.711407	0.0493945	21	14
39	ala	5	0.958195	0.0734419	0.363395	0.0291713	60	46
39	ala	6	0.250747	0.0261678	0.0967125	0.0104204	20	14
39	la_	0	3.23001	0.116656	6.33164	0.302692	20	14
39	la_	1	2.64972	0.107389	5.34163	0.290714	20	14
