RunNumber: 20200425 Angantyr Au+Au
Energy: 7.7
Particle: 	Number'o'Particles:
PiP	803
PiM	795
Pi0	819
KaP	346
KaM	211
K0L	282
K0S	278
ETA	1000
OMG	1000
La0	172
LB0	26
PRO	551
NEU	573
PRB	101
NEB	103
Energy: 11.5
Particle: 	Number'o'Particles:
PiP	815
PiM	838
Pi0	827
KaP	370
KaM	287
K0L	320
K0S	299
ETA	1000
OMG	1000
La0	177
LB0	32
PRO	526
NEU	533
PRB	108
NEB	118
Energy: 19.6
Particle: 	Number'o'Particles:
PiP	842
PiM	839
Pi0	870
KaP	421
KaM	392
K0L	407
K0S	404
ETA	1000
OMG	1000
La0	193
LB0	76
PRO	484
NEU	469
PRB	195
NEB	198
Energy: 27
Particle: 	Number'o'Particles:
PiP	862
PiM	855
Pi0	874
KaP	464
KaM	454
K0L	450
K0S	443
ETA	1000
OMG	1000
La0	166
LB0	78
PRO	450
NEU	478
PRB	241
NEB	210
Energy: 39
Particle: 	Number'o'Particles:
PiP	890
PiM	885
Pi0	892
KaP	522
KaM	502
K0L	512
K0S	522
ETA	1000
OMG	1000
La0	187
LB0	129
PRO	462
NEU	461
PRB	289
NEB	278
Energy: 62.4
Particle: 	Number'o'Particles:
PiP	982
PiM	987
Pi0	983
KaP	786
KaM	780
K0L	763
K0S	786
ETA	1000
OMG	1000
La0	499
LB0	412
PRO	709
NEU	731
PRB	630
NEB	647
Energy: 130
Particle: 	Number'o'Particles:
PiP	976
PiM	984
Pi0	987
KaP	801
KaM	809
K0L	808
K0S	799
ETA	1000
OMG	1000
La0	460
LB0	417
PRO	674
NEU	690
PRB	649
NEB	664
Energy: 200
Particle: 	Number'o'Particles:
PiP	981
PiM	976
Pi0	983
KaP	815
KaM	818
K0L	808
K0S	815
ETA	1000
OMG	1000
La0	494
LB0	478
PRO	708
NEU	715
PRB	691
NEB	702
