Exotic Particle Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 19.6

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
4	22	0.0792012	0.0792012	91
4	22	0.131077	0.131077	91
7	22	0.287148	0.287148	91
7	11	0.0130002	0.0129901	91
9	11	0.0860961	0.0860946	91
9	-11	0.0666912	0.0666892	91
12	22	0.299948	0.299948	91
14	22	0.206512	0.206512	91
14	-11	0.00190184	0.00183191	91
14	22	0.0914789	0.0914789	91
16	22	0.515935	0.515935	91
18	-11	0.0390195	0.0390162	91
18	11	0.0949205	0.0949191	91
18	-11	0.0812994	0.0812978	91
18	11	0.162479	0.162479	91
18	-11	0.0365083	0.0365047	91
23	22	0.170515	0.170515	91
25	22	0.14578	0.14578	91
25	22	0.101116	0.101116	91
26	11	0.0294016	0.0293972	91
27	22	0.0774575	0.0774575	91
28	-11	0.193897	0.193896	91
32	22	0.0505356	0.0505356	91
32	-11	0.0154619	0.0154535	91
32	22	0.0398103	0.0398103	91
36	22	0.213189	0.213189	91
36	11	0.106264	0.106263	91
37	22	0.80586	0.80586	91
37	-11	0.105558	0.105556	91
37	-11	0.0758561	0.0758544	91
37	22	0.0647254	0.0647254	91
38	-11	0.0351339	0.0351302	91
40	22	0.183763	0.183763	91
41	22	0.274213	0.274213	91
42	-11	0.209054	0.209053	91
47	22	0.426388	0.426388	91
47	22	0.105838	0.105838	91
47	22	0.143212	0.143212	91
47	22	0.199375	0.199375	91
49	22	0.455135	0.455135	91
51	11	0.0138579	0.0138485	91
54	11	0.0311144	0.0311103	91
54	-11	0.10832	0.108319	91
54	11	0.209908	0.209907	91
54	-11	0.0710405	0.0710387	91
54	-11	0.037327	0.0373235	91
54	-11	0.00396368	0.00393072	91
55	22	0.0978321	0.0978321	91
56	11	0.00766197	0.00764501	91
58	22	0.279236	0.279236	91
61	22	0.19389	0.19389	91
61	22	0.120691	0.120691	91
70	11	0.100925	0.100924	91
70	-11	0.087741	0.0877395	91
71	11	0.0277833	0.0277786	91
71	-11	0.156726	0.156725	91
72	11	0.0196581	0.0196514	91
72	-11	0.0225175	0.0225117	91
76	22	0.199544	0.199544	91
78	-11	0.00490756	0.00488092	91
80	22	0.322291	0.322291	91
81	11	0.021201	0.0211948	91
81	22	0.222934	0.222934	91
84	22	0.0510878	0.0510878	91
84	-11	0.0452784	0.0452755	91
84	11	0.187878	0.187878	91
84	-11	0.0494048	0.0494022	91
85	22	0.185681	0.185681	91
88	22	0.0164337	0.0164337	91
95	22	0.0720778	0.0720778	91
97	22	0.238303	0.238303	91
97	11	0.140317	0.140316	91
97	-11	0.0989355	0.0989342	91
97	-11	0.0600168	0.0600147	91
100	22	0.149483	0.149483	91
100	11	0.0045502	0.00452164	91
103	11	0.0160401	0.016032	91
105	11	0.0713025	0.0713007	91
105	-11	0.106957	0.106956	91
109	11	0.0214912	0.0214852	91
110	11	0.0650429	0.0650409	91
110	-11	0.266363	0.266362	91
111	11	0.0678026	0.0678007	91
119	22	0.689794	0.689794	91
119	-11	0.0158671	0.0158589	91
122	22	0.0793771	0.0793771	91
127	11	0.245481	0.245481	91
127	-11	0.327072	0.327072	91
129	22	0.0767893	0.0767893	91
131	22	0.131972	0.131972	91
134	22	0.652405	0.652405	91
135	-11	0.00243017	0.00237604	91
137	22	0.0480387	0.0480387	91
145	22	0.446766	0.446766	91
154	22	0.08999	0.08999	91
155	-11	0.0775701	0.0775684	91
160	22	0.486709	0.486709	91
160	-11	0.0507027	0.0507001	91
162	22	0.176425	0.176425	91
163	22	0.44049	0.44049	91
173	22	0.264947	0.264947	91
175	22	0.0249803	0.0249803	91
176	-11	0.253289	0.253288	91
176	22	0.0640014	0.0640014	91
179	11	0.0813388	0.0813372	91
179	-11	0.00767846	0.00766147	91
180	22	0.212722	0.212722	91
184	22	0.284975	0.284975	91
188	-11	0.00566994	0.00564698	91
191	22	0.160708	0.160708	91
192	-11	0.0542203	0.0542179	91
192	11	0.00560203	0.00557867	91
201	11	0.0890053	0.0890039	91
201	-11	0.537485	0.537485	91
202	22	0.15871	0.15871	91
204	22	0.60805	0.60805	91
204	-11	0.0134989	0.0134892	91
204	22	0.305192	0.305192	91
204	22	0.0751256	0.0751256	91
205	22	0.0491088	0.0491088	91
206	22	0.0749298	0.0749298	91
207	22	0.0885969	0.0885969	91
210	22	0.442805	0.442805	91
210	22	0.177906	0.177906	91
212	22	0.496929	0.496929	91
213	22	0.466585	0.466585	91
213	22	0.0497244	0.0497244	91
213	11	0.188714	0.188713	91
213	-11	0.39605	0.39605	91
213	11	0.0367623	0.0367588	91
213	-11	0.263989	0.263989	91
214	22	0.0522835	0.0522835	91
215	11	0.219778	0.219777	91
219	22	0.0140731	0.0140731	91
230	22	0.208185	0.208185	91
233	22	0.212028	0.212028	91
233	22	0.438113	0.438113	91
238	11	0.0965947	0.0965934	91
238	-11	0.0869632	0.0869617	91
249	11	0.0114138	0.0114024	91
250	22	0.0281879	0.0281879	91
254	-11	0.187988	0.187987	91
254	11	0.220512	0.220511	91
254	-11	0.0277066	0.0277019	91
255	22	0.136619	0.136619	91
