Exotic Particle Analysis
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 130

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
1	-11	0.000725874	0.00051556	91
2	11	0.0799116	0.07991	91
4	22	0.117065	0.117065	91
5	11	0.42568	0.42568	91
5	-11	0.121669	0.121668	91
6	22	0.103681	0.103681	91
12	22	0.0568098	0.0568098	91
14	-11	0.147348	0.147347	91
15	22	0.0734458	0.0734458	91
16	11	0.0200422	0.0200357	91
23	22	0.0682621	0.0682621	91
26	11	0.418721	0.418721	91
26	-11	0.484255	0.484254	91
26	22	0.0397774	0.0397774	91
27	11	0.208091	0.208091	91
27	-11	0.151774	0.151774	91
32	22	0.18179	0.18179	91
32	22	0.0604736	0.0604736	91
32	-11	0.133795	0.133794	91
32	11	0.0350724	0.0350687	91
32	-11	0.0201407	0.0201342	91
36	11	0.237629	0.237628	91
39	11	0.34393	0.34393	91
42	11	0.0200007	0.0199942	91
42	-11	0.0374573	0.0374539	91
47	22	0.201487	0.201487	91
49	11	0.298631	0.298631	91
49	11	0.0223889	0.0223831	91
49	-11	0.0306232	0.0306189	91
51	22	0.0341218	0.0341218	91
51	11	0.0727152	0.0727134	91
54	11	0.0770522	0.0770505	91
54	-11	0.0885315	0.08853	91
56	22	0.0500045	0.0500045	91
58	-11	0.00206865	0.00200516	91
59	11	0.00471004	0.0046824	91
59	-11	0.00905884	0.00904442	91
61	22	0.166812	0.166812	91
62	22	0.125508	0.125508	91
63	22	0.0316871	0.0316871	91
66	22	0.0484146	0.0484146	91
70	22	0.58699	0.58699	62
70	-11	0.132062	0.132061	91
70	11	0.307064	0.307063	91
70	22	0.239706	0.239706	91
70	22	0.829711	0.829711	91
70	22	0.138436	0.138436	91
70	22	0.214281	0.214281	91
70	11	0.0122961	0.0122855	91
70	11	0.0232028	0.0231971	91
70	-11	0.109615	0.109614	91
70	-11	0.292397	0.292397	91
82	22	0.163965	0.163965	91
84	22	0.104195	0.104195	91
85	22	0.438367	0.438367	91
87	-11	0.0204409	0.0204346	91
87	11	0.105646	0.105645	91
105	11	0.0427072	0.0427042	91
105	-11	0.0434526	0.0434496	91
108	22	0.205066	0.205066	91
113	22	0.0516581	0.0516581	91
119	11	0.00124413	0.00113441	91
120	11	0.0876982	0.0876967	91
120	-11	0.125505	0.125504	91
120	11	0.0455003	0.0454974	91
120	11	0.109454	0.109452	91
120	11	0.296421	0.296421	91
120	-11	0.0388975	0.0388942	91
125	11	0.0879861	0.0879847	91
125	-11	0.225771	0.225771	91
125	11	0.1116	0.111599	91
125	-11	0.189078	0.189077	91
128	11	0.101122	0.101121	91
130	11	0.697603	0.697603	91
133	22	0.133319	0.133319	91
133	-11	0.274903	0.274903	91
