Particle List (1st event only)
******************************************************
JobID: 20200425	No. Events: 1000	SNN: 130

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.5
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

I	particle/jet	status	KF	orig	p_x	p_y	p_z	E	m
=========================================================
1	system	-11	90	0	0	0	0	25610	25610
2	197Au	-12	1000791970	0	0	0	12803.7	12805	183.473
3	197Au	-12	1000791970	0	0	0	-12803.7	12805	183.473
4	n0	-13	2112	1	0	0	64.9932	65	0.93957
5	n0	-13	2112	2	0	0	-64.9932	65	0.93957
6	g	-21	21	9	0	0	6.9346	6.9346	0
7	d	-21	1	10	0	0	-14.3637	14.3637	0
8	g	-23	21	5	0.316929	1.42874	6.81756	6.97287	0
9	d	-23	1	5	-0.316929	-1.42874	-14.2466	14.3254	0.33
10	g	-61	21	3	0.747373	-0.207409	6.92021	6.96354	0
11	d	-61	1	4	0.381529	-0.688883	-14.3686	14.3902	0
12	g	-62	21	7	1.06073	1.21927	6.77745	6.96747	0
13	d	-62	1	8	0.0681751	-2.11557	-14.2259	14.3863	0.33
14	ud_0	-63	2101	3	-1.44214	0.291344	57.1176	57.1395	0.57933
15	d	-63	1	3	0.462173	0.0820298	0.765437	0.956622	0.33
16	ud_1	-63	2103	4	-0.381529	0.688883	-50.4886	50.5006	0.77133
17	n0	-13	2112	2	0	0	-64.9932	65	0.93827
18	p_diffr+	-15	9902210	16	0.232598	-0.165964	-64.9392	65.0495	3.77576
19	g	-24	21	17	0.223576	-0.159527	-0.329091	0.428644	0
20	d	-63	1	17	-0.108992	0.0689032	-9.02267	9.02944	0.325
21	ud_1	-63	2103	17	0.118014	-0.0753407	-55.5875	55.5914	0.65
22	p+	-13	2212	1	0	0	64.9932	65	0.93827
23	n0	-13	2112	2	0	0	-64.9932	65	0.93957
24	g	-21	21	27	0	0	12.343	12.343	0
25	u	-21	2	28	0	0	-14.6911	14.6911	0
26	g	-23	21	23	0.550987	-0.983686	12.2936	12.3452	0
27	u	-23	2	23	-0.550987	0.983686	-14.6418	14.6889	0.33
28	g	-41	21	57	0	-1.11022e-16	19.7303	19.7303	0
29	u	-42	2	66	0	5.55112e-17	-14.6911	14.6911	0
30	g	-44	21	25	1.53968	-0.526104	12.3204	12.4274	0
31	u	-44	2	26	-0.549099	0.98456	-14.5734	14.6207	0.33
32	g	-43	21	27	-0.990576	-0.458456	7.29214	7.37338	0
33	g	-31	21	79	0	0	23.3529	23.3529	0
34	g	-31	21	80	0	0	-0.11334	0.11334	0
35	g	-33	21	32	0.817165	-0.186343	1.5635	1.77398	0
36	g	-33	21	32	-0.817165	0.186343	21.6761	21.6923	0
37	g	-31	21	44	0	0	0.378545	0.378545	0
38	g	-31	21	45	0	0	-2.50168	2.50168	0
39	g	-33	21	36	0.806094	-0.0371476	-1.86647	2.03344	0
40	g	-33	21	36	-0.806094	0.0371476	-0.256665	0.846785	0
41	g	-31	21	90	0	0	0.635899	0.635899	0
42	g	-31	21	51	0	0	-2.46655	2.46655	0
43	g	-33	21	40	-0.672079	-0.283337	0.345694	0.80714	0
44	g	-33	21	40	0.672079	0.283337	-2.17634	2.29531	0
45	g	-41	21	84	-2.77556e-16	1.33227e-15	2.9731	2.9731	0
46	g	-42	21	85	-8.32667e-17	2.22045e-16	-2.50168	2.50168	0
47	g	-44	21	38	0.777429	0.10433	-1.53291	1.72194	0
48	g	-44	21	39	-0.907407	0.537172	-0.49811	1.16621	0
49	g	-43	21	44	0.129978	-0.641502	2.50244	2.58663	0
50	g	-51	21	42	-0.628316	-0.372257	0.341236	0.8061	0
51	g	-51	21	42	-0.043763	0.0889196	-0.890574	0.896072	0
52	g	-53	21	91	3.53878e-16	0	-3.36158	3.36158	0
53	d	-51	1	34	0.100503	0.336935	0.956562	1.07123	0.33
54	dbar	-51	-1	34	0.603018	-0.497363	3.62145	3.71952	0.33
55	g	-52	21	35	-0.703521	0.160428	18.6615	18.6755	0
56	u	-51	2	30	-0.398832	1.4085	-12.628	12.7169	0.33
57	g	-51	21	30	-0.150267	-0.423943	-1.89828	1.95084	0
58	g	-53	21	65	0	-2.22045e-16	19.7773	19.7773	0
59	g	-51	21	47	-0.0403216	0.600884	-0.116295	0.613361	0
60	g	-51	21	47	-0.645891	-0.0340283	-0.817959	1.04278	0
61	g	-52	21	46	0.556235	0.0746463	-1.09677	1.23202	0
62	g	-31	21	95	0	0	0.994945	0.994945	0
63	g	-31	21	96	0	0	-5.59921	5.59921	0
64	g	-33	21	61	-0.346133	-0.252338	0.940194	1.03317	0
65	g	-33	21	61	0.346133	0.252338	-5.54446	5.56098	0
66	g	-42	21	72	5.45397e-15	-2.13718e-15	19.7773	19.7773	0
67	u	-41	2	73	-5.38458e-15	2.11636e-15	-17.4062	17.4062	0
68	g	-44	21	29	1.54049	-0.526425	12.3297	12.4367	0
69	u	-44	2	55	-0.206302	1.33253	-12.6385	12.7145	0.33
70	g	-44	21	31	-0.989959	-0.458699	7.28365	7.36491	0
71	g	-44	21	56	-0.121028	-0.435482	-1.89864	1.9517	0
72	g	-43	21	66	-0.223199	0.0880804	-2.70509	2.71571	0
73	g	-61	21	21	2.10521	-0.0316268	19.7335	19.8455	0
74	u	-61	2	22	0.363662	-2.06189	-17.3534	17.4792	0
75	g	-62	21	67	2.86316	-0.557324	12.2673	12.6093	0
76	u	-62	2	68	0.0580188	-0.168406	-12.6691	12.6747	0.33
77	g	-62	21	69	-0.209074	-0.472239	7.33669	7.35485	0
78	g	-62	21	70	-0.0766964	-0.663243	-1.86224	1.97831	0
79	g	-62	21	71	-0.16654	-0.232304	-2.69248	2.70761	0
80	g	-61	21	21	0.0786757	-0.384699	23.1234	23.1268	0
81	g	-61	21	22	0.642067	0.0628776	0.790137	1.02006	0
82	d	-62	1	52	0.428997	0.345825	1.79866	1.9099	0.33
83	g	-62	21	54	-0.608128	-0.113641	16.625	16.6365	0
84	dbar	-62	-1	53	0.899874	-0.554005	5.48989	5.6004	0.33
85	g	-61	21	21	-1.61279	-0.630859	2.85291	3.33739	0
86	g	-61	21	22	0.23861	-0.482602	-2.35733	2.41802	0
87	g	-62	21	60	0.617604	-0.152204	-0.860043	1.06971	0
88	g	-62	21	58	-0.125367	0.489066	-0.116883	0.518232	0
89	g	-62	21	48	-1.2646	-1.19994	2.44129	2.99983	0
90	g	-62	21	59	-0.60181	-0.250378	-0.968775	1.16764	0
91	g	-61	21	21	-1.27259	0.252837	0.165006	1.30791	0
92	g	-61	21	22	-1.36785	-0.189548	-3.83795	4.07883	0
93	g	-62	21	49	-2.07292	-0.160982	-0.528163	2.1452	0
94	g	-62	21	43	-0.135872	0.186192	-2.06852	2.08132	0
95	g	-62	21	50	-0.43165	0.0380784	-1.07627	1.16023	0
96	g	-61	21	21	0.447961	0.0804447	0.88397	0.994255	0
97	g	-61	21	22	-0.148337	1.75835	-5.83385	6.09488	0
98	g	-62	21	63	0.0941273	-0.178259	0.887277	0.909888	0
99	g	-62	21	64	0.205497	2.01706	-5.83716	6.17925	0
100	ud_0	-63	2101	21	0.0386577	0.13068	14.603	14.6151	0.57933
101	u	-63	2	21	0.00633648	1.02668	-0.0177107	1.07858	0.33
102	dd_1	-63	1103	22	0.271849	0.912809	-33.71	33.7322	0.77133
103	n0	-13	2112	2	0	0	-64.9932	65	0.93827
104	p_diffr+	-15	9902210	102	0.208539	-0.443461	-64.035	65.8712	15.4368
105	d	-24	1	103	0.208939	-0.444312	0.821907	1.01105	0.325
106	ud_1	-63	2103	103	-0.000399997	0.000850946	-64.8569	64.8601	0.65
107	n0	-13	2112	1	0	0	64.9932	65	0.93957
108	n0	-13	2112	2	0	0	-64.9932	65	0.93957
109	g	-21	21	116	0	0	31.6433	31.6433	0
110	g	-21	21	117	0	0	-2.47326	2.47326	0
111	g	-23	21	108	0.825763	-0.940598	-2.30167	2.61998	0
112	g	-23	21	108	-0.825763	0.940598	31.4717	31.4965	0
113	g	-31	21	120	0	0	1.90648	1.90648	0
114	g	-31	21	121	0	0	-6.46225	6.46225	0
115	g	-33	21	112	-0.140776	-0.380963	-6.43414	6.44695	0
116	g	-33	21	112	0.140776	0.380963	1.87838	1.92178	0
117	g	-61	21	106	1.28921	-0.833215	31.8161	31.8531	0
118	g	-61	21	107	1.98074	-1.51442	-1.90072	3.13521	0
119	g	-62	21	110	2.82754	-2.46804	-1.14548	3.92407	0
120	g	-62	21	111	0.442416	0.1204	31.0609	31.0643	0
121	g	-61	21	106	-0.0284275	0.188017	1.90011	1.9096	0
122	g	-61	21	107	-0.409004	0.0788925	-6.468	6.4814	0
123	g	-62	21	114	-0.547786	-0.30177	-6.42001	6.4504	0
124	g	-62	21	115	0.110354	0.56868	1.85212	1.9406	0
125	u	-63	2	106	-0.913874	-0.080489	8.95959	9.01248	0.33
126	dd_1	-63	1103	106	-0.810992	0.462251	21.1976	21.2321	0.77133
127	u	-63	2	107	-0.68829	0.487324	-52.1497	52.1576	0.33
128	dd_1	-63	1103	107	-0.883444	0.948204	-3.64646	3.94603	0.77133
129	p+	-13	2212	2	0	0	-64.9932	65	0.93827
130	p_diffr+	-15	9902210	128	0.33112	-0.101456	-64.978	64.9974	1.54956
131	u	-24	2	129	0.424249	-0.129992	-7.75186	7.76884	0.258261
132	ud_0	-63	2101	129	-0.0931293	0.0285352	-57.2261	57.2286	0.516521
133	p+	-13	2212	2	0	0	-64.9932	65	0.93827
134	p_diffr+	-15	9902210	132	0.13296	0.364893	-64.717	65.275	8.50812
135	d	-24	1	133	0.133801	0.3672	0.0445232	0.510241	0.325
136	uu_1	-63	2203	133	-0.000840815	-0.00230751	-64.7615	64.7647	0.65
137	n0	-13	2112	1	0	0	64.9932	65	0.93957
138	p+	-13	2212	2	0	0	-64.9932	65	0.93827
139	g	-21	21	157	0	0	1.24818	1.24818	0
140	dbar	-21	-1	158	0	0	-5.15704	5.15704	0
141	g	-23	21	138	0.719915	0.709973	0.976355	1.40556	0
142	dbar	-23	-1	138	-0.719915	-0.709973	-4.88521	4.99966	0.33
143	g	-31	21	171	0	0	2.10035	2.10035	0
144	g	-31	21	152	0	0	-0.936117	0.936117	0
145	g	-33	21	142	-0.730491	0.635188	1.68051	1.93938	0
146	g	-33	21	142	0.730491	-0.635188	-0.516271	1.09709	0
147	g	-31	21	176	0	0	0.0319997	0.0319997	0
148	g	-31	21	177	0	0	-14.9178	14.9178	0
149	g	-33	21	146	0.404993	-0.442443	-3.73297	3.78085	0
150	g	-33	21	146	-0.404993	0.442443	-11.1528	11.169	0
151	d	-51	1	144	0.00589785	0.507341	1.07007	1.22938	0.33
152	dbar	-51	-1	144	-0.736388	0.127846	0.407456	0.91298	0.33
153	g	-53	21	172	6.85438e-17	0	-1.1391	1.1391	0
154	g	-31	21	180	0	0	0.239179	0.239179	0
155	d	-31	1	181	0	0	-3.07957	3.07957	0
156	g	-33	21	153	0.304839	0.113393	0.101405	0.340687	0
157	d	-33	1	153	-0.304839	-0.113393	-2.94179	2.97806	0.33
158	g	-41	21	166	5.55112e-17	-4.16334e-17	1.84219	1.84219	0
159	dbar	-42	-1	167	-1.38778e-17	0	-5.15704	5.15704	0
160	g	-44	21	140	0.913588	0.562771	0.960665	1.44022	0
161	dbar	-44	-1	141	-0.71061	-0.717045	-4.83176	4.94712	0.33
162	g	-43	21	157	-0.202978	0.154275	0.556252	0.611897	0
163	g	-31	21	184	0	0	0.0529739	0.0529739	0
164	u	-31	2	185	0	0	-1.15209	1.15209	0
165	g	-33	21	162	0.109178	0.0297915	-0.116783	0.162621	0
166	u	-33	2	162	-0.109178	-0.0297915	-0.982328	1.04244	0.33
167	g	-61	21	136	0.113468	-2.04896	1.17409	2.36423	0
168	dbar	-61	-1	137	-0.282809	1.25	-4.5179	4.69616	0
169	g	-62	21	159	0.985756	-0.779759	0.872616	1.5301	0
170	dbar	-62	-1	160	-0.990579	0.495524	-4.6786	4.81923	0.33
171	g	-62	21	161	-0.164519	-0.51472	0.462174	0.711062	0
172	g	-61	21	136	0.0552986	1.37984	1.28268	1.88475	0
173	g	-61	21	137	0.255695	-1.31016	-0.316337	1.37185	0
174	d	-62	1	150	0.0692264	0.913782	0.220578	0.998672	0.33
175	g	-62	21	145	0.90206	-1.01784	0.596239	1.48499	0
176	dbar	-62	-1	151	-0.660292	0.173741	0.149523	0.772935	0.33
177	g	-61	21	136	0.128266	0.218195	-0.518716	0.577172	0
178	g	-61	21	137	-0.477452	-0.0806098	-14.9064	14.9143	0
179	g	-62	21	148	0.398519	-0.297929	-3.53115	3.56603	0
180	g	-62	21	149	-0.747705	0.435514	-11.894	11.9254	0
181	g	-61	21	136	-0.0368013	0.0115698	0.237301	0.240416	0
182	d	-61	1	137	-0.138296	-0.014276	-3.09243	3.09556	0
183	g	-62	21	155	0.266419	0.123531	0.11285	0.314601	0
184	d	-62	1	156	-0.441516	-0.126237	-2.96798	3.02137	0.33
185	g	-61	21	136	0.0437157	-0.159902	-0.063014	0.177343	0
186	u	-61	2	137	-0.0664745	-0.155931	-1.24245	1.25396	0
187	g	-62	21	164	0.118898	-0.0567216	-0.190477	0.231594	0
188	u	-62	2	165	-0.141657	-0.259111	-1.11498	1.19971	0.33
189	ud_1	-63	2103	136	-0.0733841	1.50771	35.5415	35.5819	0.77133
190	d	-63	1	136	0.113936	-0.510646	3.28324	3.341	0.33
191	uu_1	-63	2203	137	-0.0909509	0.257432	-34.701	34.7107	0.77133
192	d	-63	1	137	0.34036	0.0345315	-1.78987	1.85191	0.33
193	ubar	-63	-2	137	0.459928	0.0190075	-2.13775	2.21151	0.33
194	n0	-13	2112	2	0	0	-64.9932	65	0.93827
195	p_diffr+	-15	9902210	193	-0.00352809	0.339985	-46.2706	83.7001	69.7468
196	Pomeron	-13	990	194	-0.00352809	0.339985	18.7098	18.7129	0
197	p+	-13	2212	194	-4.93026e-09	1.62815e-08	-64.9804	64.9872	0.93827
198	g	-21	21	201	-3.15529e-05	0.0030406	0.167328	0.167356	0
199	g	-21	21	202	1.12976e-08	-1.09687e-06	-1.15859	1.15859	0
200	g	-23	21	197	-0.0402164	-0.196781	0.0939668	0.221743	0
201	g	-23	21	197	0.0401848	0.199821	-1.08523	1.10421	0
202	g	-61	21	195	-0.205834	1.05874	-0.837373	1.36546	0
203	g	-61	21	196	-0.0241507	-0.00257762	-0.737486	0.737886	0
204	g	-62	21	199	-0.23018	0.80182	-0.445512	0.945717	0
205	g	-62	21	200	0.000195314	0.254342	-1.12935	1.15763	0
206	d	-63	1	195	-0.248436	-0.0600256	0.475038	0.632364	0.33
207	dbar	-63	-1	195	0.450744	-0.658875	17.8752	17.8961	0.33
208	ud_1	-63	2103	196	-0.566297	-0.153446	-40.5423	40.5539	0.77133
209	d	-63	1	196	0.590446	0.156169	-22.5037	22.5144	0.33
210	n0	-13	2112	2	0	0	-64.9932	65	0.93827
211	p_diffr+	-15	9902210	209	0.0348648	-0.205306	-62.9728	67.0142	22.9191
212	g	-24	21	210	0.0342036	-0.201412	1.97378	1.98432	0
213	u	-63	2	210	1.10364	-0.740559	-15.2276	15.2889	0.325
214	dd_1	-63	1103	210	-1.10298	0.736666	-49.719	49.7409	0.65
215	n0	-13	2112	2	0	0	-64.9932	65	0.93827
216	p_diffr+	-15	9902210	214	0.0329764	-0.248626	-64.9847	65.0045	1.58312
217	u	-24	2	215	0.0428165	-0.322816	-5.04049	5.05789	0.263854
218	dd_1	-63	1103	215	-0.00984017	0.0741901	-59.9442	59.9466	0.527708
219	p+	-13	2212	2	0	0	-64.9932	65	0.93827
220	p_diffr+	-15	9902210	218	-0.408812	-0.283865	-63.9777	66.0086	16.2398
221	g	-24	21	219	-0.374634	-0.260133	0.871348	0.983498	0
222	u	-63	2	219	-0.16927	1.55624	-8.44825	8.5982	0.325
223	ud_0	-63	2101	219	0.135092	-1.57998	-56.4008	56.4269	0.65
224	n0	-13	2112	1	0	0	64.9932	65	0.93957
225	n0	-13	2112	2	0	0	-64.9932	65	0.93957
226	g	-21	21	258	0	0	1.60849	1.60849	0
227	d	-21	1	259	0	0	-10.288	10.288	0
228	g	-23	21	225	-0.305613	-1.39018	1.22917	1.88065	0
229	d	-23	1	225	0.305613	1.39018	-9.90871	10.0159	0.33
230	d	-31	1	267	0	0	9.10875	9.10875	0
231	g	-31	21	268	0	0	-1.81219	1.81219	0
232	d	-33	1	229	0.500723	-1.06412	8.87159	8.95528	0.33
233	g	-33	21	229	-0.500723	1.06412	-1.57503	1.96565	0
234	g	-51	21	232	-0.157302	0.995104	-1.61871	1.90662	0
235	g	-51	21	232	-0.262552	-0.102844	1.47224	1.499	0
236	d	-52	1	231	0.419854	-0.89226	7.44303	7.51532	0.33
237	d	-51	1	228	0.539249	0.151554	-0.442581	0.786471	0.33
238	g	-51	21	228	-0.26363	1.10219	-9.3455	9.41396	0
239	g	-52	21	227	-0.275619	-1.25374	1.10854	1.69608	0
240	g	-51	21	237	-0.40177	1.09	-2.83715	3.06577	0
241	g	-51	21	237	0.12226	-0.0600547	-6.44448	6.44592	0
242	g	-52	21	238	-0.259738	-1.1815	1.04467	1.59836	0
243	g	-51	21	233	0.469735	0.399845	-0.747278	0.968996	0
244	g	-51	21	233	-0.658917	0.582771	-0.692666	1.11963	0
245	g	-52	21	234	-0.230673	-0.090356	1.29347	1.31699	0
246	g	-51	21	241	-0.516106	-0.282558	0.693794	0.9097	0
247	g	-51	21	241	0.261198	-0.901318	0.0962583	0.943326	0
248	g	-52	21	240	0.117429	-0.057682	-6.18987	6.19125	0
249	g	-51	21	246	0.168511	-1.19879	-0.552698	1.33078	0
250	g	-51	21	246	0.105992	0.290937	-0.0523803	0.314042	0
251	g	-52	21	247	0.104124	-0.0511464	-5.48853	5.48976	0
252	g	-51	21	245	-0.361512	-0.756393	0.79537	1.15561	0
253	g	-51	21	245	-0.0753064	-0.0902203	-0.361632	0.380248	0
254	g	-52	21	248	0.0892233	-0.634735	-0.292642	0.70462	0
255	d	-31	1	273	0	0	0.0174726	0.0174726	0
256	u	-31	2	274	0	0	-8.80863	8.80863	0
257	d	-33	1	254	0.0430863	0.117565	-2.46906	2.49416	0.33
258	u	-33	2	254	-0.0430863	-0.117565	-6.3221	6.33195	0.33
259	g	-61	21	223	-0.461204	1.39934	1.28523	1.95517	0
260	d	-61	1	224	-1.70713	0.0729564	-10.404	10.5434	0
261	g	-62	21	251	-0.639957	0.0988836	0.906211	1.1138	0
262	d	-62	1	236	0.392099	0.294719	-0.520306	0.78754	0.33
263	g	-62	21	239	-0.989665	1.22186	-3.38927	3.73624	0
264	g	-62	21	250	-0.801927	-0.0139993	-5.52259	5.58053	0
265	g	-62	21	253	-0.0177263	-0.455668	-0.0588584	0.459796	0
266	g	-62	21	249	0.0253637	0.404684	-0.201375	0.45273	0
267	g	-62	21	252	-0.136526	-0.0781846	-0.332608	0.367941	0
268	d	-61	1	223	1.03553	-0.0958437	9.07754	9.13691	0
269	g	-61	21	224	-0.176891	0.741501	-1.71748	1.87906	0
270	d	-62	1	235	1.24966	-0.95105	7.18706	7.36403	0.33
271	g	-62	21	242	0.402415	0.75248	-0.668836	1.08421	0
272	g	-62	21	244	-0.0835926	-0.100824	1.29521	1.30181	0
273	g	-62	21	243	-0.709844	0.945051	-0.453376	1.26592	0
274	d	-61	1	223	-0.178569	-0.0162393	-0.605498	0.631489	0
275	u	-61	2	224	0.369447	-0.318749	-9.18969	9.20263	0
276	d	-62	1	256	0.00986512	0.024387	-2.77556	2.79524	0.33
277	u	-62	2	257	0.181013	-0.359376	-7.01962	7.03889	0.33
278	ud_0	-63	2101	223	0.338118	-0.976572	53.484	53.4971	0.57933
279	dbar	-63	-1	223	-0.73388	-0.31068	0.271051	0.904141	0.33
280	ud_0	-63	2101	224	0.825686	-0.209392	-31.9163	31.9329	0.57933
281	ubar	-63	-2	224	0.73892	-0.000955179	-10.2649	10.2967	0.33
282	n0	-13	2112	1	0	0	64.9932	65	0.93827
283	p_diffr+	-15	9902210	281	0.261877	-0.438714	64.9941	65.0106	1.37095
284	g	-24	21	282	0.270374	-0.452948	12.3158	12.3271	0
285	u	-63	2	282	0.0543345	-0.110132	19.9566	19.9583	0.228492
286	dd_1	-63	1103	282	-0.0628314	0.124367	32.7217	32.7252	0.456984
287	p+	-13	2212	1	0	0	64.9932	65	0.93827
288	p_diffr+	-15	9902210	286	0.017025	-0.145196	64.9813	65.0123	2.00201
289	g	-24	21	287	0.0100893	-0.0860457	0.253725	0.268108	0
290	d	-63	1	287	0.216551	-0.420144	41.0683	41.0723	0.325
291	uu_1	-63	2203	287	-0.209616	0.360994	23.6594	23.672	0.65
292	n0	-13	2112	1	0	0	64.9932	65	0.93827
293	p_diffr+	-15	9902210	291	-0.32893	0.298549	64.9844	64.9975	1.23098
294	d	-24	1	292	-0.459899	0.417421	19.4726	19.4836	0.205163
295	ud_1	-63	2103	292	0.130969	-0.118872	45.5118	45.514	0.410326
296	n0	-13	2112	1	0	0	64.9932	65	0.93957
297	n0	-13	2112	2	0	0	-64.9932	65	0.93957
298	g	-21	21	305	0	0	3.66121	3.66121	0
299	d	-21	1	306	0	0	-10.631	10.631	0
300	g	-23	21	297	-1.03656	0.0876823	3.55853	3.70747	0
