Particle List (1st event only)
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 19.6

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

I	particle/jet	status	KF	orig	p_x	p_y	p_z	E	m
=========================================================
1	system	-11	90	0	0	0	0	3861.2	3861.2
2	197Au	-12	1000791970	0	0	0	1921.86	1930.6	183.473
3	197Au	-12	1000791970	0	0	0	-1921.86	1930.6	183.473
4	n0	-13	2112	1	0	0	9.75486	9.8	0.93957
5	n0	-13	2112	2	0	0	-9.75486	9.8	0.93957
6	g	-21	21	13	0	0	1.76713	1.76713	0
7	d	-21	1	14	0	0	-7.04962	7.04962	0
8	g	-23	21	5	-0.982961	-1.08036	1.36713	2.00061	0
9	d	-23	1	5	0.982961	1.08036	-6.64962	6.81614	0.33
10	g	-31	21	17	0	0	0.318472	0.318472	0
11	g	-31	21	18	0	0	-1.59847	1.59847	0
12	g	-33	21	9	0.493446	-0.0669134	0.0464299	0.500123	0
13	g	-33	21	9	-0.493446	0.0669134	-1.32642	1.41682	0
14	g	-61	21	3	0.0402196	-0.610742	1.67062	1.77921	0
15	d	-61	1	4	1.1418	0.778866	-7.02813	7.16275	0
16	g	-62	21	7	-0.874989	-1.59803	0.959997	2.05935	0
17	d	-62	1	8	2.05701	1.76616	-6.31751	6.88262	0.33
18	g	-61	21	3	-0.402619	-0.151124	0.147583	0.454666	0
19	g	-61	21	4	-0.493628	-1.12824	-2.04538	2.38751	0
20	g	-62	21	11	0.152985	-0.210413	0.153619	0.302121	0
21	g	-62	21	12	-1.04923	-1.06895	-2.05142	2.54005	0
22	ud_0	-63	2101	3	0.579636	0.338534	3.20008	3.32065	0.57933
23	d	-63	1	3	-0.271539	0.264015	0.323993	0.597753	0.33
24	ud_1	-63	2103	4	-0.648173	0.349378	2.01671	2.28129	0.77133
25	p+	-13	2212	2	0	0	-9.75498	9.8	0.93827
26	p_diffr+	-15	9902210	24	0.0252462	0.209676	-9.28658	10.27	4.3803
27	u	-24	2	25	0.0258619	0.214784	0.401546	0.560058	0.325
28	ud_0	-63	2101	25	-0.000615665	-0.00510716	-9.68813	9.70991	0.65
29	n0	-13	2112	2	0	0	-9.75498	9.8	0.93827
30	p_diffr+	-15	9902210	28	0.0290567	-0.0503601	-8.50885	10.9462	6.88588
31	d	-24	1	29	0.0293254	-0.050876	1.18521	1.23037	0.325
32	ud_1	-63	2103	29	-0.000268707	0.000515943	-9.69407	9.71583	0.65
33	p+	-13	2212	1	0	0	9.75498	9.8	0.93827
34	n0	-13	2112	2	0	0	-9.75486	9.8	0.93957
35	g	-21	21	44	0	0	4.83251	4.83251	0
36	d	-21	1	47	0	0	-2.72599	2.72599	0
37	g	-23	21	34	-0.291591	0.961834	4.67442	4.78125	0
38	d	-23	1	34	0.291591	-0.961834	-2.5679	2.77726	0.33
