Event ET Analysis
******************************************************
JobID: 20200425	No. Events: 1000	SNN: 11.5

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 15791.6	Total Transverse Momentum: 14998

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         7194	3523.5	3318.6	22.3125	22.1269
Pi-:         7200	3477.6	3269.67	22.0218	21.8007
Pi0:         8104	3760.79	3528.33	23.8151	23.5253
K+:          601	497.41	380.245	3.14983	2.5353
K-:          408	334.602	253.715	2.11886	1.69165
K0L:         503	414.975	314.555	2.62782	2.09731
K0S:         469	390.957	298.879	2.47572	1.99279
Lambda0:     217	60.6705	168.344	0.384194	1.12244
LambdaBar0:  32	79.3817	23.1445	0.502683	0.154317
Proton:      1180	376.994	915.89	2.3873	6.10674
Antiproton:  124	260.986	82.3544	1.65269	0.549102
Neutron:     1361	422.753	1047.51	2.67707	6.9843
Antineutron: 135	289.546	96.0716	1.83354	0.640562
eta:         781	682.741	506.576	4.32344	3.37762
omega:       820	888.912	576.655	5.62901	3.84488
Omega-:      0	0	0	0	0
Xi0:         7	11.5575	6.9429	0.0731874	0.0462921
Xi-:         9	13.5241	5.98384	0.0856412	0.0398976
Sigma+:      40	57.7127	30.5173	0.365464	0.203475
Sigma-:      57	86.9028	49.8023	0.550309	0.332059
Sigma0:      56	84.6601	48.8431	0.536108	0.325664
Sigma+BAR:   13	19.586	11.3997	0.124028	0.0760081
Sigma-BAR:   15	22.277	12.2873	0.141068	0.0819259
Sigma0BAR:   18	25.3357	12.2039	0.160438	0.0813704
gamma:       223	53.0665	53.0665	0.336042	0.353823

[Pions]:     22498	10761.9	10116.6	68.1494	67.4529
[Kaons]:     1981	1637.94	1247.39	10.3722	8.31705
[Lambdas]:   249	140.052	191.489	0.886877	1.27676
[p,pbar]:    1304	637.98	998.244	4.03999	6.65584
[n,nbar]:    1496	712.299	1143.58	4.51062	7.62486
[eta,ome]:   1601	1571.65	1083.23	9.95245	7.2225
[Xi,Om,Sig]: 169	254.357	142.089	1.61071	0.947388
[gamma]:     223	53.0665	53.0665	0.336042	0.353823
[exotic]:    211	22.3677	22.3339	0.141643	0.148912

counted ET:  15791.6	Total ET:	4776.46	(counted/total)%:	330.614

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   367.355	314.323	10761.9	10116.6	3.41347	3.107
[Pions (omega)] 856.016	763.913	10761.9	10116.6	7.95414	7.55109
