Event ET Analysis
******************************************************
JobID: 20200425	No. Events: 1000	SNN: 130

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.5
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 151314	Total Transverse Momentum: 131189

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         69289	32945.1	31041.6	21.7727	23.6618
Pi-:         69574	33240.5	31337.9	21.9679	23.8876
Pi0:         78938	35907.8	33735.6	23.7308	25.7153
K+:          6090	4896	3750.26	3.23566	2.85867
K-:          5880	4707.85	3598.15	3.11132	2.74273
K0L:         6009	4857.72	3720	3.21036	2.8356
K0S:         5902	4784.84	3666.49	3.1622	2.79481
Lambda0:     909	256.283	688.977	0.169372	0.525179
LambdaBar0:  749	1819.4	576.87	1.2024	0.439725
Proton:      2662	772.628	1918.17	0.510614	1.46214
Antiproton:  2224	4629.81	1574.73	3.05975	1.20036
Neutron:     2790	798.603	1995.23	0.527781	1.52088
Antineutron: 2258	4725.77	1628.33	3.12316	1.24121
eta:         7438	6343.5	4728.15	4.19229	3.60407
omega:       7681	8292.1	5547.01	5.48008	4.22826
Omega-:      1	1.94695	1.02095	0.0012867	0.000778232
Xi0:         72	109.625	56.688	0.0724488	0.043211
Xi-:         72	116.732	66.3716	0.0771458	0.0505924
Sigma+:      264	381.79	218.154	0.252317	0.16629
Sigma-:      293	423.736	235.54	0.280039	0.179543
Sigma0:      309	443.065	244.969	0.292812	0.18673
Sigma+BAR:   268	383.707	214.563	0.253584	0.163552
Sigma-BAR:   248	360.96	204.729	0.238551	0.156057
Sigma0BAR:   278	401.002	225.525	0.265014	0.171909
gamma:       2534	611.75	611.75	0.404293	0.466312

[Pions]:     217801	102093	96115.2	67.4714	73.2647
[Kaons]:     23881	19246.4	14734.9	12.7195	11.2318
[Lambdas]:   1658	2075.68	1265.85	1.37177	0.964904
[p,pbar]:    4886	5402.44	3492.9	3.57036	2.6625
[n,nbar]:    5048	5524.37	3623.56	3.65094	2.76209
[eta,ome]:   15119	14635.6	10275.2	9.67236	7.83233
[Xi,Om,Sig]: 1011	1476.9	822.744	0.97605	0.627144
[gamma]:     2534	611.75	611.75	0.404293	0.466312
[exotic]:    2137	247.05	246.886	0.16327	0.188191

counted ET:  151314	Total ET:	46131.9	(counted/total)%:	328.002

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   3766.24	3226.37	102093	96115.2	3.68901	3.35677
[Pions (omega)] 8474.59	7573.16	102093	96115.2	8.30082	7.87925
