Event ET Analysis
******************************************************
JobID: 20200425	No. Events: 1000	SNN: 19.6

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 21090.7	Total Transverse Momentum: 19092.3

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         9380	4638.57	4372.8	21.9934	22.9035
Pi-:         9341	4562.17	4293.51	21.6312	22.4882
Pi0:         10824	5069.84	4756.87	24.0382	24.9152
K+:          797	664.668	509.181	3.15147	2.66695
K-:          649	536.21	408.612	2.5424	2.14019
K0L:         712	595.348	455.755	2.82279	2.38712
K0S:         730	598.006	452.389	2.83539	2.36949
Lambda0:     237	69.6728	189.951	0.330348	0.994911
LambdaBar0:  82	202.719	60.1377	0.961178	0.314984
Proton:      941	303.323	736.006	1.43818	3.85499
Antiproton:  238	514.955	175.608	2.44162	0.919784
Neutron:     978	306.132	754.692	1.4515	3.95287
Antineutron: 238	511.526	169.072	2.42536	0.885551
eta:         1006	886.919	661.794	4.20525	3.46629
omega:       1110	1234.34	826.653	5.85254	4.32978
Omega-:      0	0	0	0	0
Xi0:         11	19.0248	11.4652	0.0902048	0.0600513
Xi-:         7	10.1556	4.08301	0.0481519	0.0213857
Sigma+:      50	74.7745	42.6709	0.354537	0.223498
Sigma-:      62	90.4407	48.4053	0.428817	0.253533
Sigma0:      61	93.1292	53.8082	0.441565	0.281832
Sigma+BAR:   24	35.1788	19.3992	0.166797	0.101608
Sigma-BAR:   33	50.0093	29.3628	0.237115	0.153794
Sigma0BAR:   27	39.6798	21.3867	0.188139	0.112018
gamma:       305	75.826	75.826	0.359523	0.397155

[Pions]:     29545	14270.6	13423.2	67.6628	70.3069
[Kaons]:     2888	2394.23	1825.94	11.3521	9.56375
[Lambdas]:   319	272.392	250.089	1.29153	1.3099
[p,pbar]:    1179	818.278	911.614	3.8798	4.77478
[n,nbar]:    1216	817.659	923.764	3.87686	4.83842
[eta,ome]:   2116	2121.26	1488.45	10.0578	7.79607
[Xi,Om,Sig]: 191	287.525	160.433	1.36328	0.840301
[gamma]:     305	75.826	75.826	0.359523	0.397155
[exotic]:    278	32.98	32.9783	0.156372	0.172731

counted ET:  21090.7	Total ET:	6319.15	(counted/total)%:	333.759

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   522.211	444.224	14270.6	13423.2	3.65936	3.30938
[Pions (omega)] 1185.28	1061.09	14270.6	13423.2	8.30577	7.90489
