Event ET Analysis
******************************************************
JobID: 20200425	No. Events: 1000	SNN: 39

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 32260.4	Total Transverse Momentum: 28498

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         14132	7000.51	6596.11	21.7	23.1459
Pi-:         14333	7117.1	6706.6	22.0614	23.5336
Pi0:         16035	7577.17	7118.64	23.4876	24.9794
K+:          1309	1096.87	844.321	3.40005	2.96274
K-:          1093	905.724	690.467	2.80755	2.42286
K0L:         1166	981.07	752.845	3.0411	2.64175
K0S:         1191	984.422	747.759	3.05149	2.6239
Lambda0:     230	70.2228	185.889	0.217675	0.652287
LambdaBar0:  143	359.886	111.875	1.11557	0.39257
Proton:      935	302.527	729.945	0.937766	2.56139
Antiproton:  405	883.888	311.21	2.73986	1.09204
Neutron:     905	294.989	713.38	0.914402	2.50326
Antineutron: 407	885.595	306.126	2.74515	1.0742
eta:         1605	1428.04	1066.59	4.42662	3.74269
omega:       1636	1832.39	1223.44	5.67999	4.29309
Omega-:      1	1.73245	0.452243	0.0053702	0.00158693
Xi0:         12	20.4049	12.0018	0.0632508	0.0421147
Xi-:         13	20.0212	9.48485	0.0620614	0.0332825
Sigma+:      65	99.7947	58.7278	0.309341	0.206077
Sigma-:      68	106.219	64.0365	0.329257	0.224705
Sigma0:      69	108.31	64.6356	0.335737	0.226807
Sigma+BAR:   53	80.378	46.7963	0.249154	0.164209
Sigma-BAR:   37	53.7492	28.2079	0.166611	0.0989818
Sigma0BAR:   61	90.7367	50.7125	0.281264	0.177951
gamma:       499	128.655	128.655	0.398802	0.451453

[Pions]:     44500	21694.8	20421.4	67.2491	71.6589
[Kaons]:     4759	3968.08	3035.39	12.3002	10.6512
[Lambdas]:   373	430.109	297.764	1.33324	1.04486
[p,pbar]:    1340	1186.41	1041.16	3.67762	3.65343
[n,nbar]:    1312	1180.58	1019.51	3.65955	3.57746
[eta,ome]:   3241	3260.43	2290.04	10.1066	8.03578
[Xi,Om,Sig]: 228	356.483	209.339	1.10502	0.734573
[gamma]:     499	128.655	128.655	0.398802	0.451453
[exotic]:    424	54.8167	54.8141	0.16992	0.192344

counted ET:  32260.4	Total ET:	9844	(counted/total)%:	327.716

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   798.683	684.241	21694.8	20421.4	3.68145	3.35061
[Pions (omega)] 1785.04	1592.05	21694.8	20421.4	8.22796	7.796
