Event ET Analysis
******************************************************
JobID: 20200430	No. Events: 10000	SNN: 11.5

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 135027	Total Transverse Momentum: 129130

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         67933	33170.8	31234.9	24.5661	24.1888
Pi-:         68518	33066.6	31078.6	24.4889	24.0677
Pi0:         78754	36529.4	34253.3	27.0535	26.5263
K+:          5509	4532.79	3456.2	3.35696	2.67653
K-:          3709	3081.26	2367.86	2.28196	1.83371
K0L:         4413	3648.17	2780.42	2.70182	2.1532
K0S:         4551	3759.15	2854.59	2.78401	2.21064
Lambda0:     2031	595.736	1622.28	0.441199	1.25632
LambdaBar0:  427	1055.29	310.426	0.781542	0.240398
Proton:      11532	3585.76	8854.34	2.6556	6.85694
Antiproton:  1243	2660.36	882.913	1.97025	0.683742
Neutron:     12692	3879.28	9668.18	2.87298	7.48719
Antineutron: 1333	2841.48	915.387	2.10439	0.70889
etaTOT:      7373	6456.6	4785.26	4.78172	3.70578
omegaTOT:    7745	8374.26	8374.26	6.20193	4.19769
eta:         7373	2185.15	1168.48	1.61831	0.904886
omega:       7745	-2056.41	2399.69	-1.52297	-3.00942
Omega-:      2	3.65692	1.47113	0.00270829	0.00113927
Xi0:         52	83.8868	45.6399	0.0621261	0.0353443
Xi-:         62	97.1062	48.7482	0.0719163	0.0377514
Sigma+:      309	456.308	255.22	0.337939	0.197646
Sigma-:      465	696.344	390.501	0.515708	0.30241
Sigma0:      503	754.445	426.184	0.558738	0.330043
Sigma+BAR:   118	169.131	88.0134	0.125258	0.068159
Sigma-BAR:   129	189.178	100.262	0.140104	0.0776443
Sigma0BAR:   160	231.873	125.554	0.171724	0.0972309
gamma:       793	161.822	161.822	0.119844	0.125317

[Pions]:     215205	102767	96566.8	76.1085	74.7828
[Kaons]:     18182	15021.4	11459.1	11.1247	8.87408
[Lambdas]:   2458	1651.03	1932.71	1.22274	1.49672
[p,pbar]:    12775	6246.13	9737.25	4.62585	7.54068
[n,nbar]:    14025	6720.77	10583.6	4.97736	8.19608
[eta,ome]:   15118	128.742	-2717.58	0.0953457	-2.10453
[Xi,Om,Sig]: 1393	2091.75	1167.76	1.54914	0.904335
[gamma]:     793	161.822	161.822	0.119844	0.125317
[exotic]:    2057	238.286	238.254	0.176474	0.184507

counted ET:  135027	Total ET:	150319	(counted/total)%:	89.8268

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   4271.44	3616.78	102767	96566.8	4.15644	3.74537
[Pions (omega)] 10430.7	9306.51	102767	96566.8	10.1499	9.63738
