Event ET Analysis
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 130

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 26570.4	Total Transverse Momentum: 22801.9

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         13397	6410.18	6016.57	24.1253	26.3863
Pi-:         13607	6530.11	6133.29	24.5767	26.8982
Pi0:         15424	7063.57	6611.51	26.5844	28.9954
K+:          1122	911.658	684.361	3.43111	3.00133
K-:          1127	929.86	706.752	3.49961	3.09953
K0L:         1181	964.717	724.909	3.6308	3.17916
K0S:         1176	957.995	719.415	3.6055	3.15507
Lambda0:     148	43.5866	117.219	0.164042	0.514076
LambdaBar0:  147	370.45	115.835	1.39422	0.508007
Proton:      503	134.809	353.381	0.507365	1.54979
Antiproton:  442	948.001	312.219	3.56789	1.36927
Neutron:     515	148.782	378.086	0.559956	1.65814
Antineutron: 425	920.25	313.193	3.46345	1.37354
etaTOT:      1376	1207.61	892.875	4.54496	3.91579
omegaTOT:    1492	1643.28	1643.28	6.18462	4.722
eta:         1376	384.859	199.818	1.44845	0.876324
omega:       1492	-497.468	317.787	-1.87227	-3.62026
Omega-:      1	2.20538	1.43881	0.00830015	0.00631006
Xi0:         14	24.4841	14.621	0.0921483	0.0641217
Xi-:         8	14.1559	8.65121	0.0532771	0.0379407
Sigma+:      46	70.6919	41.5624	0.266055	0.182276
Sigma-:      48	73.601	42.1012	0.277004	0.184639
Sigma0:      47	70.1692	38.773	0.264088	0.170043
Sigma+BAR:   57	82.2175	41.1225	0.309433	0.180347
Sigma-BAR:   55	83.7239	48.0882	0.315103	0.210896
Sigma0BAR:   60	90.9873	51.7756	0.342439	0.227067
gamma:       274	46.8824	46.8824	0.176446	0.205607

[Pions]:     42428	20003.9	18761.4	75.2864	82.2799
[Kaons]:     4606	3764.23	2835.44	14.167	12.4351
[Lambdas]:   295	414.036	233.054	1.55826	1.02208
[p,pbar]:    945	1082.81	665.6	4.07525	2.91906
[n,nbar]:    940	1069.03	691.279	4.0234	3.03167
[eta,ome]:   2868	-112.609	-625.67	-0.423815	-2.74394
[Xi,Om,Sig]: 164	255.308	147.148	0.960874	0.64533
[gamma]:     274	46.8824	46.8824	0.176446	0.205607
[exotic]:    437	46.8075	46.7968	0.176164	0.205232

counted ET:  26570.4	Total ET:	29790.8	(counted/total)%:	89.1899

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   822.752	693.056	20003.9	18761.4	4.11297	3.69406
[Pions (omega)] 2140.74	1902.2	20003.9	18761.4	10.7017	10.1389
