Event ET Analysis
******************************************************
JobID: 20200430	No. Events: 100000	SNN: 200

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d
TTotal Transverse Energy: 3.59038e+06	Total Transverse Momentum: 3.10652e+06

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         1742624	865604	815359	24.109	26.2467
Pi-:         1748685	867450	816999	24.1604	26.2995
Pi0:         1981150	939448	882261	26.1657	28.4003
K+:          153715	130586	100701	3.63711	3.2416
K-:          150573	127154	97768.1	3.54152	3.14719
K0L:         151876	129181	99256	3.59798	3.19509
K0S:         151755	129329	99489.9	3.6021	3.20262
Lambda0:     21340	6979.1	17914.5	0.194383	0.576675
LambdaBar0:  19240	49249.7	16299.1	1.37171	0.524675
Proton:      66156	21738.5	52027.6	0.605466	1.67479
Antiproton:  57443	126251	44884.8	3.51638	1.44486
Neutron:     67097	21840.1	52532.3	0.608294	1.69103
Antineutron: 57580	126802	45146.9	3.53173	1.45329
etaTOT:      184950	168378	127176	4.6897	4.09383
omegaTOT:    195213	223629	223629	6.22856	4.89912
eta:         184950	57003.1	32265.8	1.58766	1.03865
omega:       195213	-60159.8	33230.5	-1.67558	-3.27841
Omega-:      48	92.1821	40.2939	0.00256748	0.00129708
Xi0:         1726	2892.36	1644.64	0.0805588	0.0529416
Xi-:         1753	2914.94	1616.58	0.0811877	0.0520385
Sigma+:      7003	10838.6	6375.78	0.301879	0.205239
Sigma-:      7105	10938.4	6332.6	0.304659	0.203849
Sigma0:      7404	11367.7	6577.77	0.316614	0.211741
Sigma+BAR:   6439	9827.73	5672.04	0.273724	0.182585
Sigma-BAR:   6632	10232.6	5937.66	0.285	0.191135
Sigma0BAR:   6813	10482.6	6095.33	0.291963	0.196211
gamma:       31244	5672.53	5672.53	0.157992	0.182601

[Pions]:     5472459	2.6725e+06	2.51462e+06	74.4351	80.9465
[Kaons]:     607919	516250	397215	14.3787	12.7865
[Lambdas]:   40580	56228.8	34213.7	1.5661	1.10135
[p,pbar]:    123599	147990	96912.5	4.12185	3.11965
[n,nbar]:    124677	148642	97679.2	4.14002	3.14433
[eta,ome]:   380163	-3156.78	-69578.8	-0.0879234	-2.23977
[Xi,Om,Sig]: 25039	39044.1	22587.7	1.08747	0.727105
[gamma]:     31244	5672.53	5672.53	0.157992	0.182601
[exotic]:    57138	7205.47	7198.8	0.200688	0.231732

counted ET:  3.59038e+06	Total ET:	4.01609e+06	(counted/total)%:	89.4

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   111375	94909.8	2.6725e+06	2.51462e+06	4.16744	3.77432
[Pions (omega)] 283789	254037	2.6725e+06	2.51462e+06	10.6188	10.1024
