CollEn	 Particle	 Cent	 dEtdEta	 dETdEta_err	 dNdEta	 dNdEta_err	 npart	 nparterr
7.7	pi-	0	38.7256	2.76497	87.0847	6.89813	337	2
7.7	pi-	1	31.8109	2.98096	73.2861	9.5493	290	6
7.7	pi-	2	23.9891	1.64861	54.061	3.9563	226	8
7.7	pi-	3	16.3428	1.14533	37.3312	2.84206	160	10
7.7	pi-	4	10.8827	0.824294	25.3334	2.25333	110	11
7.7	pi-	5	6.93869	0.610937	16.6815	1.92184	72	10
7.7	pi-	6	4.32798	0.366132	10.8499	1.16245	45	9
7.7	pi-	7	2.37486	0.207373	6.08805	0.681012	26	7
7.7	pi-	8	1.16986	0.0907463	3.04464	0.270895	14	4
7.7	pi+	0	36.6464	2.7237	80.0234	6.86269	337	2
7.7	pi+	1	29.7453	2.12507	65.7668	5.17204	290	6
7.7	pi+	2	22.5485	1.52233	49.5957	3.48106	226	8
7.7	pi+	3	15.3874	1.08123	34.4246	2.63881	160	10
7.7	pi+	4	10.163	0.733856	23.1825	1.87685	110	11
7.7	pi+	5	6.49301	0.463921	15.3559	1.21026	72	10
7.7	pi+	6	4.03943	0.316019	9.98694	0.926046	45	9
7.7	pi+	7	2.19313	0.16097	5.50727	0.452229	26	7
7.7	pi+	8	1.12688	0.0955702	3.0241	0.314831	14	4
7.7	ka-	0	4.09289	0.257453	5.03967	0.312086	337	2
7.7	ka-	1	3.36113	0.210741	4.15773	0.255062	290	6
7.7	ka-	2	2.43894	0.149731	3.04522	0.183154	226	8
7.7	ka-	3	1.61787	0.10018	2.05995	0.124828	160	10
7.7	ka-	4	1.02284	0.0660566	1.30846	0.0830119	110	11
7.7	ka-	5	0.601563	0.0484438	0.789977	0.0665601	72	10
7.7	ka-	6	0.325688	0.0233011	0.434533	0.030064	45	9
7.7	ka-	7	0.140694	0.0146993	0.192143	0.0210864	26	7
7.7	ka-	8	0.056507	0.00882991	0.0782363	0.0106444	14	4
7.7	ka+	0	11.9412	0.738654	14.1235	0.849191	337	2
7.7	ka+	1	9.67993	0.59234	11.585	0.689549	290	6
7.7	ka+	2	6.91246	0.414751	8.34783	0.484711	226	8
7.7	ka+	3	4.57581	0.277109	5.56853	0.327666	160	10
7.7	ka+	4	2.80309	0.17078	3.47314	0.206706	110	11
7.7	ka+	5	1.62688	0.104607	2.05873	0.130847	72	10
7.7	ka+	6	0.87139	0.0553724	1.125	0.0689276	45	9
7.7	ka+	7	0.390137	0.0267567	0.513068	0.0342277	26	7
7.7	ka+	8	0.153468	0.0129843	0.205892	0.0167815	14	4
7.7	proton	0	12.6892	1.10507	30.9628	2.61532	337	2
7.7	proton	1	10.5246	0.916607	25.9243	2.17912	290	6
7.7	proton	2	7.3371	0.631118	18.9382	1.57246	226	8
7.7	proton	3	4.67783	0.403001	12.4577	1.03554	160	10
7.7	proton	4	2.94611	0.253353	8.2244	0.689383	110	11
7.7	proton	5	1.5776	0.134873	4.72917	0.395729	72	10
7.7	proton	6	0.827811	0.0711494	2.59366	0.218724	45	9
7.7	proton	7	0.372115	0.0324516	1.28406	0.110395	26	7
7.7	proton	8	0.146283	0.0140011	0.556883	0.0523643	14	4
7.7	pbar	0	0.428078	0.0419372	0.193039	0.0209322	337	2
7.7	pbar	1	0.346226	0.038196	0.156924	0.0197794	290	6
7.7	pbar	2	0.27642	0.0278922	0.126226	0.0141545	226	8
7.7	pbar	3	0.204309	0.0231083	0.0936113	0.0118803	160	10
7.7	pbar	4	0.145884	0.0182926	0.0671972	0.0107424	110	11
7.7	pbar	5	0.0996564	0.0110399	0.0463636	0.00540525	72	10
7.7	pbar	6	0.0543794	0.0327028	0.0258158	0.0289609	45	9
7.7	pbar	7	0.0287575	0.0047085	0.0137845	0.00251115	26	7
7.7	pbar	8	0.013633	0.00440232	0.00671392	0.00243233	14	4
7.7	pi0	0	37.7572	2.8231	84.4797	7.3515	337	2
7.7	pi0	1	30.7942	2.32793	70.0845	6.27139	290	6
7.7	pi0	2	23.3081	1.58475	52.3764	3.75059	226	8
7.7	pi0	3	15.8954	1.11509	36.2803	2.77923	160	10
7.7	pi0	4	10.5923	0.631377	24.7905	1.31661	110	11
7.7	pi0	5	6.73108	0.517095	16.2363	1.48153	72	10
7.7	pi0	6	4.18262	0.331101	10.5164	1.01413	45	9
7.7	pi0	7	2.31574	0.125203	6.02289	0.265739	26	7
7.7	pi0	8	1.18013	0.0598438	3.21523	0.125867	14	4
