npart
 SNN, bin, corr, nominalET   factorSysUncertainty   expSysUncertainty   extrapSysUncertainty
7.7	0 20728.7   8311.32   6.03106e+08   0
7.7	1 20291.7   8310.76   6.03106e+08   0
7.7	2 19696.8   8310.14   6.03106e+08   0
7.7	3 19083.3   8309.66   6.03106e+08   0
7.7	4 18618.5   8309.4   6.03106e+08   0
7.7	5 796.752   72.4444   190.16   0
7.7	6 461.52   32.4275   113.904   0
7.7	7 241.696   14.5641   65.072   0
7.7	8 130.144   7.84269   37.184   0

11.5	0 3178.49   184.204   48.792   0
11.5	1 2742.52   158.929   85.896   0
11.5	2 2139.58   124.097   104.448   0
11.5	3 1527.36   89.0297   113.724   0
11.5	4 1063.56   62.9752   123   0
11.5	5 804.588   72.0068   189.96   0
11.5	6 460.62   31.7841   113.724   0
11.5	7 241.176   14.0828   64.932   0
11.5	8 129.864   7.58349   37.104   0

19.6	0 3164.97   171.884   48.712   0
19.6	1 2712.4   147.347   85.656   0
19.6	2 2121.3   115.428   113.364   0
19.6	3 1502.49   82.3474   122.6   0
19.6	4 1040.69   58.2243   131.836   0
19.6	5 781.036   69.1751   187.4   0
19.6	6 449.584   30.1626   113.364   0
19.6	7 240.136   13.1288   64.652   0
19.6	8 129.304   7.06986   46.18   0

27	0 3198.51   162.149   48.632   0
27	1 2793.88   141.719   85.416   0
27	2 2196.14   111.672   113.004   0
27	3 1570.82   80.5795   131.396   0
27	4 1092.62   57.3872   131.396   0
27	5 821.46   71.4669   193.48   0
27	6 477.572   30.7292   113.004   0
27	7 248.292   12.6577   73.568   0
27	8 128.744   6.56382   55.176   0

39	0 3168.79   143.763   48.512   0
39	1 2730.26   124.047   85.056   0
39	2 2145.56   97.9134   112.464   0
39	3 1524.31   70.5443   121.6   0
39	4 1018.42   49.7462   126.776   0
39	5 805.664   68.5026   190.72   0
39	6 463.456   27.9672   112.464   0
39	7 237.536   10.8136   63.952   0
39	8 127.904   5.82331   45.68   0

62.4	0 3704.57   291.767   32.028   0
62.4	1 3297.5   316.943   44.864   0
62.4	2 2579.68   247.949   56.08   0
62.4	3 1802.03   175.661   54.94   0
62.4	4 1278.62   122.896   56.08   0
62.4	5 852.416   81.9309   56.08   0
62.4	6 538.368   51.7459   56.08   0
62.4	7 253.568   9.77103   27.168   0
62.4	8 135.84   5.23516   18.112   0

130	0 3134.72   101.77   78.768   0
130	1 2630.78   85.2252   96.72   0
130	2 2161.87   70.3479   114.672   0
130	3 1712.53   56.3316   123.648   0
130	4 1348.78   56.5641   71.808   0
130	5 897.6   28.873   80.784   0
130	6 547.536   17.6127   71.808   0
130	7 206.448   6.6415   44.88   0
130	8 1e-08   0.1   0   0

200	0 3135.76   82.0165   43.908   0
200	1 2669.04   69.4391   52.784   0
200	2 2090.48   54.4302   61.66   0
200	3 1504.13   39.2888   61.66   0
200	4 1125.97   49.3662   78.94   0
200	5 692.328   18.0188   44.38   0
200	6 434.924   11.3198   44.38   0
200	7 257.404   6.69993   35.504   0
200	8 142.016   3.69746   26.628   0

