CollEn	particle	centrality	mass	dETdEta_TOT	dETdEta_TOT_err	dETdEtaExtrap	dETdEtaExtrap_err	Npart	Npart_err
62.4	pi-	0	0.13957	85.5919	1.60273	24.7252	0.410318	347	3
62.4	pi-	1	0.13957	69.5926	2.79932	20.226	1.37486	294	4
62.4	pi-	2	0.13957	52.1743	0.841587	14.7284	0.164451	230	5
62.4	pi-	3	0.13957	36.2929	0.589035	10.2895	0.117795	164	5
62.4	pi-	4	0.13957	24.2517	0.389312	6.92025	0.0766473	114	5
62.4	pi-	5	0.13957	15.8272	0.2503	4.60315	0.0489272	76	5
62.4	pi-	6	0.13957	9.96499	0.172906	3.09237	0.0450268	48	5
62.4	pi-	7	0.13957	5.55879	0.358851	1.80698	0.223614	28	3
62.4	pi-	8	0.13957	2.88248	0.0512554	1.00124	0.0174044	15	2
62.4	pi+	0	0.13957	84.0353	3.55649	24.2714	1.78132	347	3
62.4	pi+	1	0.13957	68.8511	6.75106	19.849	4.06335	294	4
62.4	pi+	2	0.13957	51.5503	0.826388	14.5981	0.158935	230	5
62.4	pi+	3	0.13957	35.9752	0.70659	10.5428	0.219803	164	5
62.4	pi+	4	0.13957	23.8991	0.382347	6.80301	0.0742774	114	5
62.4	pi+	5	0.13957	15.57	0.246873	4.48502	0.047926	76	5
62.4	pi+	6	0.13957	9.72441	0.13955	2.9327	0.0194311	48	5
62.4	pi+	7	0.13957	5.62855	0.249081	1.8515	0.14362	28	3
62.4	pi+	8	0.13957	2.86413	0.0820155	1.0061	0.0407005	15	2
62.4	pi0	0	0.13497	86.3473	3.19145	26.032	1.48731	347	3
62.4	pi0	1	0.13497	70.371	3.06453	21.1866	1.53534	294	4
62.4	pi0	2	0.13497	53.4454	1.54858	16.2463	0.642632	230	5
62.4	pi0	3	0.13497	36.9048	0.583438	11.1869	0.115629	164	5
62.4	pi0	4	0.13497	24.6798	0.387886	7.46597	0.076308	114	5
62.4	pi0	5	0.13497	15.9575	0.258996	4.80302	0.0558985	76	5
62.4	pi0	6	0.13497	9.9848	0.140436	3.15265	0.0194562	48	5
62.4	pi0	7	0.13497	5.66528	0.151878	1.90087	0.0637254	28	3
62.4	pi0	8	0.13497	2.9178	0.068665	1.04817	0.0271101	15	2
62.4	ka+	0	0.49368	16.5106	2.72763	4.82855	1.16429	347	3
62.4	ka+	1	0.49368	13.499	2.18682	3.79211	1.09565	294	4
62.4	ka+	2	0.49368	9.97882	1.98572	2.7902	1.04364	230	5
62.4	ka+	3	0.49368	6.982	1.19786	2.05332	0.664409	164	5
62.4	ka+	4	0.49368	4.63673	1.1462	1.36919	0.616477	114	5
62.4	ka+	5	0.49368	2.95179	0.199174	0.860439	0.0190616	76	5
62.4	ka+	6	0.49368	1.58948	0.157817	0.381715	0.0377152	48	5
62.4	ka+	7	0.49368	0.875562	0.0613675	0.238674	0.006146	28	3
62.4	ka+	8	0.49368	0.380321	0.0258995	0.0977299	0.00201772	15	2
62.4	ka-	0	0.49368	13.533	1.04504	3.37724	0.223049	347	3
62.4	ka-	1	0.49368	12.0055	3.22603	3.57039	1.58481	294	4
62.4	ka-	2	0.49368	9.09016	1.34227	2.84284	0.65349	230	5
62.4	ka-	3	0.49368	6.25714	1.41121	1.89578	0.713405	164	5
62.4	ka-	4	0.49368	3.97043	0.483589	1.12561	0.20757	114	5
62.4	ka-	5	0.49368	2.54052	0.194285	0.710493	0.0267984	76	5
62.4	ka-	6	0.49368	1.47508	0.102153	0.407299	0.00991184	48	5
62.4	ka-	7	0.49368	0.784068	0.0758462	0.2197	0.0178674	28	3
62.4	ka-	8	0.49368	0.350851	0.0223775	0.0941551	0.000608626	15	2
62.4	pba	0	0.93827	15.059	0.443184	1.86062	0.0849002	347	3
62.4	pba	1	0.93827	12.6668	0.444662	1.56071	0.147023	294	4
62.4	pba	2	0.93827	9.73713	0.315259	1.13478	0.0962998	230	5
62.4	pba	3	0.93827	6.93029	0.204706	0.818657	0.0478338	164	5
62.4	pba	4	0.93827	4.73179	0.144453	0.535512	0.0483576	114	5
62.4	pba	5	0.93827	3.06535	0.0853042	0.338417	0.0195231	76	5
62.4	pba	6	0.93827	1.86482	0.0727194	0.20516	0.0422113	48	5
62.4	pba	7	0.93827	1.04661	0.0362128	0.117093	0.0139041	28	3
62.4	pba	8	0.93827	0.484914	0.0259714	0.0641003	0.0126055	15	2
