au+aucent
eta/pi0   pt    errR    errPt
.400    2.50    .125     .25
.550    3.00    .175     .25
.375    3.50    .100     .25
.250    4.00    .125       .25
.350    4.75    .1       .25
.375    5.75    .1     .25
.350    6.75    .175       .25
.525    7.75    .125     .25
.475    8.75    .25       .25
.485    9.75    .3      .25

au+ausemi-cent
eta/pi0   pt    errR    errPt
.350    2.33    .1       .25
.350    2.88    .1     .25
.375    3.33    .075      .25
.325    3.88    .075     .25
.400    4.55    .1       .25
.475    5.60    .1       .25
.425    6.60    .15     .25
.425    7.60    .1       .25
.375    8.60    .175      .25
.400    9.60    .2       .25

au+auperiph
eta/pi0   pt    errR    errPt
.300    2.15    .075     .25
.375    2.65    .1     .25
.400    3.15    .075      .25
.425    3.66    .075     .25
.525    4.40     .125     .25
.400    5.40     .25       .25

d+Auminbias
eta/pi0   pt    errR    errPt
.425    2.00       .05     .25
.475    2.50     .05     .25
.375    3.00       .050     .25
.475    3.50     .025      .25
.475    4.00     .025      .25
.475    4.50     .025      .25
.450    5.00     .025     .25
.500    5.50     .05       .25
.550    6.25    .05       .25
.475    7.25    .075      .25
.500    8.25    .10      .25
.675    9.25    .1     .25
.600    10.75   .125      .25

p+p
eta/pi0   pt    errR    errPt
.0001     0.0001  0     0
.450    2.75    .125    .25
.425    3.25    .025      .25
.450    3.75    .025      .25
.475    4.25    .025     .25
.475    4.75    .025     .25
.500    5.25    .05     .25
.550    5.75    .075    .25
.550    6.50    .05      .25
.600    7.50    .075     .25
.425    8.50    .1      .25
.575    9.50    .15     .25
.425    11.00   .15     .25
