w->e+e-
omega/pi0   pt    errR    errPt
.025    0.125    .05     .25
.075    0.375    .01     .25
.200    0.625    .01     .25
.275    0.875    .04       .25
.400    1.125    .075       .25
.475    1.375    .1     .25
.525    1.750    .1       .25
.600    2.500    .125     .25
.700    3.500    .15       .25

w->pi0pi+pi-
omega/pi0   pt    errR    errPt
.875    2.250    .225       .25
1.00    2.750    .1     .25
.950    3.250    .05      .25
.900    3.750    .05     .25
.750    4.250    .025       .25
.775    4.750    .075       .25
.800    5.250    .075     .25
.700    5.750    .075       .25
.700    6.250    .1      .25
.775    6.750    .125       .25
.850    7.250    .150       .25
.650    7.750    .1       .25
.775    8.250    .15       .25
.650    8.750    .15       .25
1.125    9.250    .225       .25
1.00    9.750    .2       .25
.900    10.25    .275       .25
.850    10.75    .25       .25
1.075    11.25    .275       .25
.850    12.00    .3       .25
.800    13.00    .35       .25

w->pi0gamma
omega/pi0   pt    errR    errPt
.750    2.50    .075     .25
.900    3.50    .05    .25
.675    4.50    .05      .25
.750    5.50    .125     .25
.850    6.50     .125     .25
.650    7.50     .15       .25
.700    9.00     .25       .25
.925    11.0     .3       .25

w->pi0pi+pi-PRC75
omega/pi0   pt    errR    errPt
1.025    2.75    .225     .25
1.10    3.25     .15     .25
.700    3.75     .125     .25
1.075    4.25    .125      .25
.900    4.75     .175      .25
.850    5.25     .15      .25
.450    5.75     .2     .25
.925    6.25     .225       .25
.925    6.75     .225       .25
1.10    7.25     .275      .25
.700    8.00     .25      .25
.800    9.25     .3     .25

w->pi0gammaPRC75
omega/pi0   pt    errR    errPt
.875    2.50    .15     .25
.825    3.50    .15    .25
.650    4.50    .125      .25
.750    5.50    .25     .25
1.05    6.50     .3     .25

ISR(pp)
omega/pi0   pt    errR    errPt
.875    3.000    .175    .25
.900    3.625    .2      .25
.900    6.000    .25      .25

E706
omega/pi0   pt    errR    errPt
.700    3.75     .25    .25
.900    4.125    .275      .25
.905    4.5      .275      .25
1.05    4.875    .325     .25
1.075    5.25    .275     .25
1.10    5.75     .35     .25
2.00    6.25     .575    .25
1.60    6.75     .675      .25
1.20    7.375    .95     .25
