KF	PName	quantity	percent
-3322 	Xi0	1 	0.285714
-3224 	Sigma*+	1 	0.285714
-3222 	Sigma+	1 	0.285714
-3212 	Sigma0	3 	0.857143
-3124 	d	1 	0.285714
-3122 	Lambda0	5 	1.42857
-3114 	Sigma*-	1 	0.285714
-3112 	Sigma-	1 	0.285714
-2224 	Delta++	2 	0.571429
-2214 	Delta+	4 	1.14286
-2212 	p+	11 	3.14286
-2114 	Delta0	3 	0.857143
-2112 	n0	10 	2.85714
-1114 	Delta-	3 	0.857143
-513 	B*0	1 	0.285714
-511 	B0	1 	0.285714
-433 	D*_s+	2 	0.571429
-431 	D_s+	2 	0.571429
-423 	D*0	2 	0.571429
-421 	D0	2 	0.571429
-413 	D*+	1 	0.285714
-411 	D+	2 	0.571429
-323 	K*+	7 	2
-321 	K+	6 	1.71429
-313 	K*0	7 	2
-311 	K0	6 	1.71429
-213 	rho+	28 	8
-211 	pi+	22 	6.28571
111 	pi0	27 	7.71429
113 	rho0	20 	5.71429
130 	K_L0	8 	2.28571
211 	pi+	27 	7.71429
213 	rho+	19 	5.42857
221 	eta	8 	2.28571
223 	omega	21 	6
310 	K_S0	5 	1.42857
311 	K0	7 	2
313 	K*0	9 	2.57143
321 	K+	11 	3.14286
323 	K*+	9 	2.57143
331 	eta'	6 	1.71429
333 	phi	5 	1.42857
413 	D*+	1 	0.285714
421 	D0	2 	0.571429
423 	D*0	1 	0.285714
521 	B+	1 	0.285714
523 	B*+	1 	0.285714
1114 	Delta-	3 	0.857143
2112 	n0	9 	2.57143
2212 	p+	4 	1.14286
2214 	Delta+	1 	0.285714
2224 	Delta++	1 	0.285714
3112 	Sigma-	1 	0.285714
3122 	Lambda0	4 	1.14286
3212 	Sigma0	1 	0.285714
3214 	Sigma*0	1 	0.285714
4132 	Xi_c0	1 	0.285714


Total particles counted: 350

