CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
7.7	pi-	0	0.13957	0.873913	0.0553686	0.0541624	0.0141741	2.97585	0.397691	153940	209376	32.2669	2.14486	7.21134	1.46006	0.00844488	0.000558102	39.4867	3.60548	33.6151	2.23432	10.0874	2.34726	0.00846186	0.000559206	43.7109	4.58214	58.9359	3.89699	31.8496	7.2924	0.00381648	0.000558102	90.7893	11.1899	62.1959	4.11442	31.8496	7.2924	0.00381648	0.000250271	94.0493	11.4071	337	2
7.7	pi-	1	0.13957	0.904843	0.0727835	0.0451055	0.0208884	3.37421	1.48196	358822	1.00688e+06	26.0867	1.73369	7.03892	3.22789	0.00580788	0.000410114	33.1314	4.96199	27.1953	1.80728	10.1194	5.46919	0.00581962	0.000410826	37.3206	7.27689	48.0506	3.17766	31.8197	16.7337	0.00263217	0.000410114	79.8729	19.9117	50.7478	3.35764	31.8197	16.7337	0.00263217	0.000172117	82.5701	20.0915	290	6
7.7	pi-	2	0.13957	0.855967	0.049496	0.058613	0.0121269	3.05819	0.321767	65762.1	67676.4	19.9864	1.32656	4.34482	0.696834	0.00526273	0.000369599	24.3365	2.02376	20.8275	1.38234	6.03342	1.09608	0.00527331	0.000370323	26.8662	2.47879	36.6551	2.42164	19.0683	3.42294	0.00237702	0.000369599	55.7257	5.84495	38.6922	2.55747	19.0683	3.42294	0.00237702	0.000164757	57.7628	5.98057	226	8
7.7	pi-	3	0.13957	0.859103	0.0561534	0.0564575	0.013512	3.03224	0.351573	54876.7	66743.1	13.5178	0.898021	3.08993	0.571389	0.00301431	0.000207357	16.6108	1.46962	14.0957	0.936382	4.30792	0.90883	0.00302039	0.000207768	18.4067	1.84542	25.0168	1.65436	13.6092	2.83114	0.00136462	0.000207357	38.6274	4.48571	26.4217	1.74809	13.6092	2.83114	0.00136462	9.30174e-05	40.0323	4.57933	160	10
7.7	pi-	4	0.13957	0.880241	0.0674308	0.0496524	0.0166989	3.01189	0.669237	71650.4	133325	8.89732	0.590644	2.25826	0.628476	0.00156349	9.63224e-05	11.1571	1.21922	9.28414	0.616325	3.19337	1.03492	0.00156667	9.65103e-05	12.4791	1.65134	16.6247	1.09915	10.0681	3.19417	0.000710314	9.63224e-05	26.6935	4.29342	17.5691	1.16217	10.0681	3.19417	0.000710314	4.29094e-05	27.6379	4.35639	110	11
7.7	pi-	5	0.13957	0.884124	0.0846938	0.0470748	0.021137	3.28515	1.14841	66056.4	172560	5.56004	0.369719	1.60876	0.653914	0.00194942	0.000121414	7.17075	1.02375	5.81078	0.386405	2.29951	1.09715	0.00195425	0.000121711	8.11224	1.48367	10.6042	0.703033	7.23958	3.368	0.000977194	0.000121414	17.8448	4.07115	11.2223	0.744355	7.23958	3.368	0.000977194	6.07325e-05	18.4628	4.11241	72	10
7.7	pi-	6	0.13957	0.890284	0.0553375	0.0435751	0.0134631	3.5949	1.233	68765.6	133171	3.3615	0.223482	1.13187	0.374875	0.00142217	9.03034e-05	4.49479	0.598447	3.51886	0.233964	1.64263	0.640295	0.00142611	9.05415e-05	5.16291	0.874349	6.54674	0.434277	5.15838	1.95262	0.000753812	9.03034e-05	11.7059	2.38698	6.93844	0.460494	5.15838	1.95262	0.000753812	4.67365e-05	12.0976	2.41316	45	9
7.7	pi-	7	0.13957	0.906679	0.0491545	0.0371372	0.0120273	3.1219	1.53986	87764.9	197653	1.80633	0.120961	0.614281	0.228985	0.000524964	0.00010424	2.42114	0.35005	1.89102	0.126613	0.904007	0.40555	0.000526436	0.000104487	2.79555	0.532268	3.53141	0.235188	2.82616	1.21876	0.000280056	0.00010424	6.35785	1.45405	3.74138	0.249259	2.82616	1.21876	0.000280056	5.08271e-05	6.56782	1.46807	26	7
7.7	pi-	8	0.13957	0.866916	0.0921806	0.044434	0.01909	2.4974	0.757753	14113.8	34561.2	0.880215	0.0603624	0.263139	0.0766533	0.000641664	5.24076e-05	1.144	0.137068	0.922463	0.0632105	0.374301	0.129927	0.000643928	5.25852e-05	1.29741	0.19319	1.74701	0.118163	1.17846	0.39712	0.000383535	5.24076e-05	2.92585	0.515335	1.85212	0.125259	1.17846	0.39712	0.000383535	3.07297e-05	3.03096	0.522409	14	4
7.7	pi+	0	0.13957	0.877744	0.079398	0.0538837	0.0208697	2.53732	0.356408	133142	260504	30.9916	2.05985	6.0974	1.48821	0.00920386	0.000613217	37.0982	3.54868	32.2366	2.14237	8.47892	2.40179	0.00922233	0.000614437	40.7248	4.54477	55.4782	3.66477	26.7759	7.45614	0.00415488	0.000613217	82.2582	11.1215	58.4507	3.86281	26.7759	7.45614	0.00415488	0.000275875	85.2307	11.3192	337	2
