CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr	fitStatus
7.7	ala	0	1.11568	0.662784	0.148954	0.0846891	0.0410226	1.37029	1.15819	117172	855106	0.260272	0.0361024	0.00916609	0.00370325	1.95695e-05	4.9852e-06	0.269458	0.0398106	0.390694	0.0588715	0.0295624	0.0137166	2.07195e-05	5.27344e-06	0.420277	0.0725933	0.094919	0.0134783	0.00396214	0.00161073	4.32789e-06	4.9852e-06	0.0988855	0.015094	0.145618	0.0226085	0.00396214	0.00161073	4.32789e-06	1.09602e-06	0.149584	0.0242204	337	2	1
7.7	ala	1	1.11568	0.566552	0.0328792	0.095217	0.00339286	0.599049	0.382614	18336.3	8641.45	0.225144	0.0331262	0.00668678	0.00167036	9.59025e-06	2.63791e-06	0.23184	0.0347992	0.337907	0.0544949	0.020733	0.00575818	1.0158e-05	2.79139e-06	0.35865	0.0602559	0.0825766	0.012445	0.00288566	0.000724235	2.12679e-06	2.63791e-06	0.0854643	0.0131719	0.126335	0.0210293	0.00288566	0.000724235	2.12679e-06	5.81233e-07	0.129222	0.0217541	290	6	1
7.7	ala	2	1.11568	0.678897	0.00938168	0.0682249	0.000436274	1.63893	0.370236	3.34827e+06	93695.6	0.184948	0.0185809	0.00875907	0.00155012	6.43454e-05	8.25333e-06	0.193771	0.0201393	0.284971	0.0311866	0.0285687	0.00561062	6.99331e-05	8.95485e-06	0.31361	0.0368062	0.0686783	0.0070536	0.00378641	0.000673313	1.61911e-05	8.25333e-06	0.0724809	0.00773517	0.107885	0.0121416	0.00378641	0.000673313	1.61911e-05	2.06141e-06	0.111687	0.012817	226	8	1
7.7	ala	3	1.11568	0.677847	0.0572619	0.0592021	0.0164027	2.58798	1.08323	5.38549e+07	3.13597e+08	0.14172	0.0165604	0.0108567	0.00804266	1.97168e-05	5.70029e-05	0.152596	0.02466	0.230957	0.029063	0.0373398	0.0292392	2.14693e-05	6.19077e-05	0.268318	0.0583641	0.0538265	0.00638662	0.00470404	0.00349297	5.00055e-06	5.70029e-05	0.0585356	0.00993659	0.0894596	0.0114874	0.00470404	0.00349297	5.00055e-06	1.42938e-05	0.0941686	0.0149947	160	10	1
7.7	ala	4	1.11568	0.729174	0.0178732	0.0396687	0.00539033	4.84146	1.79691	1.12051e+12	4.69714e+12	0.0939481	0.0130683	0.0122077	0.253628	4.49246e-06	0.000467632	0.10616	0.267164	0.157064	0.0235706	0.04734	0.93333	4.90313e-06	0.000509129	0.204409	0.957409	0.0360046	0.00508766	0.00531493	0.110213	1.15023e-06	0.000467632	0.0413206	0.115768	0.0613923	0.00939719	0.00531493	0.110213	1.15023e-06	0.000118692	0.0667084	0.119729	110	11	1
7.7	ala	5	1.11568	0.671867	0.0112962	0.0552236	0.00123418	3.77066	1.02214	1.02714e+08	5.19627e+07	0.0465183	0.00662573	0.00518144	0.00116817	3.44414e-06	1.89894e-06	0.0517032	0.00779579	0.0787759	0.0122317	0.0185663	0.00453393	3.75498e-06	2.06571e-06	0.097346	0.0167677	0.0179402	0.0026042	0.00224903	0.000508875	8.7792e-07	1.89894e-06	0.0201901	0.00311497	0.0309553	0.00491435	0.00224903	0.000508875	8.7792e-07	4.79501e-07	0.0332052	0.0054237	59	45	1
7.7	ala	6	1.11568	0.631874	0.0404701	0.0569873	0.00319374	5.79322	3.41321	1.709e+07	2.09815e+07	0.0110105	0.00307122	0.00181206	0.000692666	1.24769e-05	8.02235e-06	0.012835	0.00377191	0.0200406	0.00576599	0.00665959	0.00271924	1.43731e-05	9.20079e-06	0.0267146	0.00849443	0.00436146	0.00122271	0.000787462	0.000301895	3.69882e-06	8.02235e-06	0.00515262	0.00153263	0.00806407	0.00233526	0.000787462	0.000301895	3.69882e-06	2.35352e-06	0.00885523	0.00263951	20	14	1
7.7	la_	0	1.11568	0.37332	0.0153368	0.141011	0.00185727	1.00109	0.250069	27922.9	3452.38	3.50651	0.186879	0.0394921	0.0019213	9.73933e-06	9.20031e-07	3.54601	0.188801	4.95402	0.28773	0.10467	0.00518761	1.00763e-05	9.51432e-07	5.0587	0.292919	8.0141	0.580023	0.477075	0.0243701	3.00827e-06	9.20031e-07	8.49118	0.604394	13.0756	1.08338	0.477075	0.0243701	3.00827e-06	2.81671e-07	13.5527	1.10775	337	2	1
7.7	la_	1	1.11568	0.309355	0.0220095	0.154035	0.00244418	1.08824	0.421549	10271.1	1433.95	2.79668	0.172108	0.0329996	0.00157091	8.08498e-06	9.22625e-07	2.82968	0.173679	3.96114	0.266765	0.0875464	0.00422187	8.36439e-06	9.54019e-07	4.0487	0.270988	6.44591	0.544024	0.399681	0.0196848	2.49549e-06	9.22625e-07	6.84559	0.563709	10.5316	1.01726	0.399681	0.0196848	2.49549e-06	2.8191e-07	10.9313	1.03695	290	6	1
7.7	la_	2	1.11568	0.751961	0.502464	0.01	1.41421	0.01	1.41421	10000	1.41421	1.9708	0.0989232	4.95515e-55	2.18374e-26	1.16211e-74	6.52895e-35	1.9708	0.0989232	2.8086	0.155107	1.0763e-54	4.84324e-26	1.20597e-74	6.77222e-35	2.8086	0.155107	4.64606	0.323882	3.51466e-54	1.63134e-25	3.79895e-75	6.52895e-35	4.64606	0.323882	7.66058	0.612097	3.51466e-54	1.63134e-25	3.79895e-75	2.11649e-35	7.66058	0.612097	226	8	1
